,acronym,graph_id,graph_order,id,name,structure_id_path,structure_set_ids,rgb_triplet
25,MOs1,1,25,656,"Secondary motor area, layer 1","[997, 8, 567, 688, 695, 315, 500, 993, 656]","[667481440, 184527634, 12, 691663206]","[31, 157, 90]"
26,MOs2/3,1,26,962,"Secondary motor area, layer 2/3","[997, 8, 567, 688, 695, 315, 500, 993, 962]","[667481441, 184527634, 12, 691663206]","[31, 157, 90]"
27,MOs5,1,27,767,"Secondary motor area, layer 5","[997, 8, 567, 688, 695, 315, 500, 993, 767]","[184527634, 12, 667481446, 691663206]","[31, 157, 90]"
28,MOs6a,1,28,1021,"Secondary motor area, layer 6a","[997, 8, 567, 688, 695, 315, 500, 993, 1021]","[667481449, 184527634, 12, 691663206]","[31, 157, 90]"
29,MOs6b,1,29,1085,"Secondary motor area, layer 6b","[997, 8, 567, 688, 695, 315, 500, 993, 1085]","[184527634, 12, 667481450, 691663206]","[31, 157, 90]"
30,SS,1,30,453,Somatosensory areas,"[997, 8, 567, 688, 695, 315, 453]","[3, 112905828, 691663206, 10, 12, 184527634, 112905813, 114512891, 114512892]","[24, 128, 100]"
31,SS1,1,31,12993,"Somatosensory areas, layer 1","[997, 8, 567, 688, 695, 315, 453, 12993]",[],"[24, 128, 100]"
32,SS2/3,1,32,12994,"Somatosensory areas, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 12994]",[],"[24, 128, 100]"
33,SS4,1,33,12995,"Somatosensory areas, layer 4","[997, 8, 567, 688, 695, 315, 453, 12995]",[],"[24, 128, 100]"
34,SS5,1,34,12996,"Somatosensory areas, layer 5","[997, 8, 567, 688, 695, 315, 453, 12996]",[],"[24, 128, 100]"
35,SS6a,1,35,12997,"Somatosensory areas, layer 6a","[997, 8, 567, 688, 695, 315, 453, 12997]",[],"[24, 128, 100]"
36,SS6b,1,36,12998,"Somatosensory areas, layer 6b","[997, 8, 567, 688, 695, 315, 453, 12998]",[],"[24, 128, 100]"
37,SSp,1,37,322,Primary somatosensory area,"[997, 8, 567, 688, 695, 315, 453, 322]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[24, 128, 100]"
38,SSp1,1,38,793,"Primary somatosensory area, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 793]",[],"[24, 128, 100]"
39,SSp2/3,1,39,346,"Primary somatosensory area, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 346]",[],"[24, 128, 100]"
40,SSp4,1,40,865,"Primary somatosensory area, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 865]",[],"[24, 128, 100]"
41,SSp5,1,41,921,"Primary somatosensory area, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 921]",[],"[24, 128, 100]"
42,SSp6a,1,42,686,"Primary somatosensory area, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 686]",[],"[24, 128, 100]"
43,SSp6b,1,43,719,"Primary somatosensory area, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 719]",[],"[24, 128, 100]"
44,SSp-n,1,44,353,"Primary somatosensory area, nose","[997, 8, 567, 688, 695, 315, 453, 322, 353]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
45,SSp-n1,1,45,558,"Primary somatosensory area, nose, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 353, 558]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
46,SSp-n2/3,1,46,838,"Primary somatosensory area, nose, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 353, 838]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
47,SSp-n4,1,47,654,"Primary somatosensory area, nose, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 353, 654]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
48,SSp-n5,1,48,702,"Primary somatosensory area, nose, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 353, 702]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
49,SSp-n6a,1,49,889,"Primary somatosensory area, nose, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 353, 889]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
50,SSp-n6b,1,50,929,"Primary somatosensory area, nose, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 353, 929]","[184527634, 12, 667481450, 691663206]","[24, 128, 100]"
51,SSp-bfd,1,51,329,"Primary somatosensory area, barrel field","[997, 8, 567, 688, 695, 315, 453, 322, 329]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[24, 128, 100]"
52,SSp-bfd1,1,52,981,"Primary somatosensory area, barrel field, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 329, 981]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
53,SSp-bfd2/3,1,53,201,"Primary somatosensory area, barrel field, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 329, 201]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
54,SSp-bfd4,1,54,1047,"Primary somatosensory area, barrel field, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1047]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
55,SSp-bfd5,1,55,1070,"Primary somatosensory area, barrel field, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1070]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
56,SSp-bfd6a,1,56,1038,"Primary somatosensory area, barrel field, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1038]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
57,SSp-bfd6b,1,57,1062,"Primary somatosensory area, barrel field, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1062]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
58,VISrll,1,58,480149202,Rostrolateral lateral visual area,"[997, 8, 567, 688, 695, 315, 453, 322, 329, 480149202]",[],"[24, 128, 100]"
59,VISrll1,1,59,480149206,"Rostrolateral lateral visual area, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 329, 480149202, 480149206]",[],"[24, 128, 100]"
60,VISrll2/3,1,60,480149210,"Rostrolateral lateral visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 329, 480149202, 480149210]",[],"[24, 128, 100]"
61,VISrll4,1,61,480149214,"Rostrolateral lateral visual area, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 329, 480149202, 480149214]",[],"[24, 128, 100]"
62,VISrll5,1,62,480149218,"Rostrolateral lateral visual area,layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 329, 480149202, 480149218]",[],"[24, 128, 100]"
63,VISrll6a,1,63,480149222,"Rostrolateral lateral visual area, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 329, 480149202, 480149222]",[],"[24, 128, 100]"
64,VISrll6b,1,64,480149226,"Rostrolateral lateral visual area, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 329, 480149202, 480149226]",[],"[24, 128, 100]"
65,SSp-ll,1,65,337,"Primary somatosensory area, lower limb","[997, 8, 567, 688, 695, 315, 453, 322, 337]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
66,SSp-ll1,1,66,1030,"Primary somatosensory area, lower limb, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 337, 1030]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
67,SSp-ll2/3,1,67,113,"Primary somatosensory area, lower limb, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 337, 113]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
68,SSp-ll4,1,68,1094,"Primary somatosensory area, lower limb, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 337, 1094]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
69,SSp-ll5,1,69,1128,"Primary somatosensory area, lower limb, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 337, 1128]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
70,SSp-ll6a,1,70,478,"Primary somatosensory area, lower limb, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 337, 478]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
71,SSp-ll6b,1,71,510,"Primary somatosensory area, lower limb, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 337, 510]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
72,SSp-m,1,72,345,"Primary somatosensory area, mouth","[997, 8, 567, 688, 695, 315, 453, 322, 345]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
73,SSp-m1,1,73,878,"Primary somatosensory area, mouth, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 345, 878]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
74,SSp-m2/3,1,74,657,"Primary somatosensory area, mouth, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 345, 657]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
75,SSp-m4,1,75,950,"Primary somatosensory area, mouth, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 345, 950]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
76,SSp-m5,1,76,974,"Primary somatosensory area, mouth, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 345, 974]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
77,SSp-m6a,1,77,1102,"Primary somatosensory area, mouth, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 345, 1102]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
78,SSp-m6b,1,78,2,"Primary somatosensory area, mouth, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 345, 2]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
79,SSp-ul,1,79,369,"Primary somatosensory area, upper limb","[997, 8, 567, 688, 695, 315, 453, 322, 369]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
80,SSp-ul1,1,80,450,"Primary somatosensory area, upper limb, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 369, 450]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
81,SSp-ul2/3,1,81,854,"Primary somatosensory area, upper limb, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 369, 854]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
82,SSp-ul4,1,82,577,"Primary somatosensory area, upper limb, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 369, 577]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
83,SSp-ul5,1,83,625,"Primary somatosensory area, upper limb, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 369, 625]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
84,SSp-ul6a,1,84,945,"Primary somatosensory area, upper limb, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 369, 945]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
85,SSp-ul6b,1,85,1026,"Primary somatosensory area, upper limb, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 369, 1026]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
86,SSp-tr,1,86,361,"Primary somatosensory area, trunk","[997, 8, 567, 688, 695, 315, 453, 322, 361]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[24, 128, 100]"
87,SSp-tr1,1,87,1006,"Primary somatosensory area, trunk, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 361, 1006]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
88,SSp-tr2/3,1,88,670,"Primary somatosensory area, trunk, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 361, 670]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
89,SSp-tr4,1,89,1086,"Primary somatosensory area, trunk, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 361, 1086]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
90,SSp-tr5,1,90,1111,"Primary somatosensory area, trunk, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 361, 1111]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
91,SSp-tr6a,1,91,9,"Primary somatosensory area, trunk, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 361, 9]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
92,SSp-tr6b,1,92,461,"Primary somatosensory area, trunk, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 361, 461]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
93,SSp-un,1,93,182305689,"Primary somatosensory area, unassigned","[997, 8, 567, 688, 695, 315, 453, 322, 182305689]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
94,SSp-un1,1,94,182305693,"Primary somatosensory area, unassigned, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305693]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
95,SSp-un2/3,1,95,182305697,"Primary somatosensory area, unassigned, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305697]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
96,SSp-un4,1,96,182305701,"Primary somatosensory area, unassigned, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305701]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
97,SSp-un5,1,97,182305705,"Primary somatosensory area, unassigned, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305705]","[667481446, 184527634, 12, 691663206]","[24, 128, 100]"
98,SSp-un6a,1,98,182305709,"Primary somatosensory area, unassigned, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305709]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
99,SSp-un6b,1,99,182305713,"Primary somatosensory area, unassigned, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305713]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
100,SSs,1,100,378,Supplemental somatosensory area,"[997, 8, 567, 688, 695, 315, 453, 378]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
101,SSs1,1,101,873,"Supplemental somatosensory area, layer 1","[997, 8, 567, 688, 695, 315, 453, 378, 873]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
102,SSs2/3,1,102,806,"Supplemental somatosensory area, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 378, 806]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
103,SSs4,1,103,1035,"Supplemental somatosensory area, layer 4","[997, 8, 567, 688, 695, 315, 453, 378, 1035]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
104,SSs5,1,104,1090,"Supplemental somatosensory area, layer 5","[997, 8, 567, 688, 695, 315, 453, 378, 1090]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
105,SSs6a,1,105,862,"Supplemental somatosensory area, layer 6a","[997, 8, 567, 688, 695, 315, 453, 378, 862]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
106,SSs6b,1,106,893,"Supplemental somatosensory area, layer 6b","[997, 8, 567, 688, 695, 315, 453, 378, 893]","[184527634, 12, 667481450, 691663206]","[24, 128, 100]"
107,GU,1,107,1057,Gustatory areas,"[997, 8, 567, 688, 695, 315, 1057]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[0, 156, 117]"
108,GU1,1,108,36,"Gustatory areas, layer 1","[997, 8, 567, 688, 695, 315, 1057, 36]","[667481440, 184527634, 12, 691663206]","[0, 156, 117]"
109,GU2/3,1,109,180,"Gustatory areas, layer 2/3","[997, 8, 567, 688, 695, 315, 1057, 180]","[667481441, 184527634, 12, 691663206]","[0, 156, 117]"
110,GU4,1,110,148,"Gustatory areas, layer 4","[997, 8, 567, 688, 695, 315, 1057, 148]","[184527634, 12, 667481445, 691663206]","[0, 156, 117]"
111,GU5,1,111,187,"Gustatory areas, layer 5","[997, 8, 567, 688, 695, 315, 1057, 187]","[184527634, 12, 667481446, 691663206]","[0, 156, 117]"
112,GU6a,1,112,638,"Gustatory areas, layer 6a","[997, 8, 567, 688, 695, 315, 1057, 638]","[667481449, 184527634, 12, 691663206]","[0, 156, 117]"
113,GU6b,1,113,662,"Gustatory areas, layer 6b","[997, 8, 567, 688, 695, 315, 1057, 662]","[184527634, 12, 667481450, 691663206]","[0, 156, 117]"
114,VISC,1,114,677,Visceral area,"[997, 8, 567, 688, 695, 315, 677]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[17, 173, 131]"
115,VISC1,1,115,897,"Visceral area, layer 1","[997, 8, 567, 688, 695, 315, 677, 897]","[667481440, 184527634, 12, 691663206]","[17, 173, 131]"
116,VISC2/3,1,116,1106,"Visceral area, layer 2/3","[997, 8, 567, 688, 695, 315, 677, 1106]","[667481441, 184527634, 12, 691663206]","[17, 173, 131]"
117,VISC4,1,117,1010,"Visceral area, layer 4","[997, 8, 567, 688, 695, 315, 677, 1010]","[184527634, 12, 667481445, 691663206]","[17, 173, 131]"
118,VISC5,1,118,1058,"Visceral area, layer 5","[997, 8, 567, 688, 695, 315, 677, 1058]","[184527634, 12, 667481446, 691663206]","[17, 173, 131]"
119,VISC6a,1,119,857,"Visceral area, layer 6a","[997, 8, 567, 688, 695, 315, 677, 857]","[667481449, 184527634, 12, 691663206]","[17, 173, 131]"
120,VISC6b,1,120,849,"Visceral area, layer 6b","[997, 8, 567, 688, 695, 315, 677, 849]","[184527634, 12, 667481450, 691663206]","[17, 173, 131]"
121,AUD,1,121,247,Auditory areas,"[997, 8, 567, 688, 695, 315, 247]","[3, 112905828, 691663206, 12, 184527634, 114512891]","[1, 147, 153]"
122,AUDd,1,122,1011,Dorsal auditory area,"[997, 8, 567, 688, 695, 315, 247, 1011]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
123,AUDd1,1,123,527,"Dorsal auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1011, 527]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
124,AUDd2/3,1,124,600,"Dorsal auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1011, 600]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
125,AUDd4,1,125,678,"Dorsal auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1011, 678]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
126,AUDd5,1,126,252,"Dorsal auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1011, 252]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
127,AUDd6a,1,127,156,"Dorsal auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1011, 156]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
128,AUDd6b,1,128,243,"Dorsal auditory area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1011, 243]","[667481450, 184527634, 12, 691663206]","[1, 147, 153]"
129,VISlla,1,129,480149230,Laterolateral anterior visual area,"[997, 8, 567, 688, 695, 315, 247, 1011, 480149230]",[],"[1, 147, 153]"
130,VISlla1,1,130,480149234,"Laterolateral anterior visual area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1011, 480149230, 480149234]",[],"[1, 147, 153]"
131,VISlla2/3,1,131,480149238,"Laterolateral anterior visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1011, 480149230, 480149238]",[],"[1, 147, 153]"
132,VISlla4,1,132,480149242,"Laterolateral anterior visual area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1011, 480149230, 480149242]",[],"[1, 147, 153]"
133,VISlla5,1,133,480149246,"Laterolateral anterior visual area,layer 5","[997, 8, 567, 688, 695, 315, 247, 1011, 480149230, 480149246]",[],"[1, 147, 153]"
134,VISlla6a,1,134,480149250,"Laterolateral anterior visual area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1011, 480149230, 480149250]",[],"[1, 147, 153]"
135,VISlla6b,1,135,480149254,"Laterolateral anterior visual area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1011, 480149230, 480149254]",[],"[1, 147, 153]"
136,AUDp,1,136,1002,Primary auditory area,"[997, 8, 567, 688, 695, 315, 247, 1002]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
137,AUDp1,1,137,735,"Primary auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1002, 735]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
138,AUDp2/3,1,138,251,"Primary auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1002, 251]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
139,AUDp4,1,139,816,"Primary auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1002, 816]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
140,AUDp5,1,140,847,"Primary auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1002, 847]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
141,AUDp6a,1,141,954,"Primary auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1002, 954]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
142,AUDp6b,1,142,1005,"Primary auditory area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1002, 1005]","[667481450, 184527634, 12, 691663206]","[1, 147, 153]"
143,AUDpo,1,143,1027,Posterior auditory area,"[997, 8, 567, 688, 695, 315, 247, 1027]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
144,AUDpo1,1,144,696,"Posterior auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1027, 696]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
145,AUDpo2/3,1,145,643,"Posterior auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1027, 643]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
146,AUDpo4,1,146,759,"Posterior auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1027, 759]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
147,AUDpo5,1,147,791,"Posterior auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1027, 791]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
148,AUDpo6a,1,148,249,"Posterior auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1027, 249]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
149,AUDpo6b,1,149,456,"Posterior auditory area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1027, 456]","[184527634, 667481450, 691663206]","[1, 147, 153]"
150,AUDv,1,150,1018,Ventral auditory area,"[997, 8, 567, 688, 695, 315, 247, 1018]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
151,AUDv1,1,151,959,"Ventral auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1018, 959]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
152,AUDv2/3,1,152,755,"Ventral auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1018, 755]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
153,AUDv4,1,153,990,"Ventral auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1018, 990]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
